epoch,step,test/f1_class_0_epoch,test/f1_class_0_step,test/f1_class_1_epoch,test/f1_class_1_step,test/f1_class_2_epoch,test/f1_class_2_step,test/f1_class_3_epoch,test/f1_class_3_step,test/f1_class_4_epoch,test/f1_class_4_step,test/f1_class_5_epoch,test/f1_class_5_step,test/iou_class_0_epoch,test/iou_class_0_step,test/iou_class_1_epoch,test/iou_class_1_step,test/iou_class_2_epoch,test/iou_class_2_step,test/iou_class_3_epoch,test/iou_class_3_step,test/iou_class_4_epoch,test/iou_class_4_step,test/iou_class_5_epoch,test/iou_class_5_step,test/loss_epoch,test/loss_step,train/f1_class_0,train/f1_class_1,train/f1_class_2,train/f1_class_3,train/f1_class_4,train/f1_class_5,train/iou_class_0,train/iou_class_1,train/iou_class_2,train/iou_class_3,train/iou_class_4,train/iou_class_5,train/loss,val/f1_class_0_epoch,val/f1_class_0_step,val/f1_class_1_epoch,val/f1_class_1_step,val/f1_class_2_epoch,val/f1_class_2_step,val/f1_class_3_epoch,val/f1_class_3_step,val/f1_class_4_epoch,val/f1_class_4_step,val/f1_class_5_epoch,val/f1_class_5_step,val/iou_class_0_epoch,val/iou_class_0_step,val/iou_class_1_epoch,val/iou_class_1_step,val/iou_class_2_epoch,val/iou_class_2_step,val/iou_class_3_epoch,val/iou_class_3_step,val/iou_class_4_epoch,val/iou_class_4_step,val/iou_class_5_epoch,val/iou_class_5_step,val/loss_epoch,val/loss_step
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5254692435264587,0.0,0.0,0.0,0.017694637179374695,5.77680748392595e-06,0.6889280080795288,0.0,0.0,0.0,0.03477396070957184,1.1553547665243968e-05,1.4311902523040771,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5160545110702515,0.0,0.0,0.0,0.2098855972290039,0.0,0.6807862520217896,0.0,0.0,0.0,0.34695112705230713,0.0,1.3095729351043701,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43000030517578125,0.0,0.0,0.0,0.2490639090538025,0.0,0.6013988852500916,0.0,0.0,0.0,0.39880090951919556,0.0,1.3102060556411743,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5720007419586182,,0.0,,0.0,,0.0,,0.20138949155807495,,0.0,,0.7277359962463379,,0.0,,0.0,,0.0,,0.33526095747947693,,0.0,,1.210096836090088
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5820857286453247,,0.0,,0.0,,0.0,,0.28340035676956177,,0.0,,0.7358460426330566,,0.0,,0.0,,0.0,,0.44163984060287476,,0.0,,1.1172468662261963
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5293583869934082,,0.0,,0.0,,0.0,,0.2480410784482956,,0.0,,0.6922620534896851,,0.0,,0.0,,0.0,,0.39748862385749817,,0.0,,1.216251015663147
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45049259066581726,,0.0,,0.0,,0.0,,0.23574943840503693,,0.0,,0.6211580634117126,,0.0,,0.0,,0.0,,0.3815489411354065,,0.0,,1.2998530864715576
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43424272537231445,,0.0,,0.0,,0.0,,0.20966312289237976,,0.0,,0.6055358648300171,,0.0,,0.0,,0.0,,0.34664711356163025,,0.0,,1.2430765628814697
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4359421730041504,,0.0,,0.0,,0.0,,0.3390658497810364,,0.0,,0.6071862578392029,,0.0,,0.0,,0.0,,0.5064214468002319,,0.0,,1.2663438320159912
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4877323806285858,,0.0,,0.0,,0.0,,0.3004224896430969,,0.0,,0.6556721925735474,,0.0,,0.0,,0.0,,0.4620383083820343,,0.0,,1.2467103004455566
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5065664052963257,,0.0,,0.0,,0.0,,0.2698400914669037,,0.0,,0.6724780201911926,,0.0,,0.0,,0.0,,0.42499852180480957,,0.0,,1.1867530345916748
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5465920567512512,,0.0,,0.0,,0.0,,0.29571470618247986,,0.0,,0.7068341970443726,,0.0,,0.0,,0.0,,0.45645034313201904,,0.0,,1.1422923803329468
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5304052233695984,,0.0,,0.0,,0.0,,0.2592640519142151,,0.0,,0.6931565403938293,,0.0,,0.0,,0.0,,0.411770761013031,,0.0,,1.134482979774475
