Dataset,Distribution Type,Category/Color,Count
Train,Image Color,#000000,1010
Train,Image Color,#ff00ff,806
Train,Image Color,#ffff00,799
Train,Image Color,#0000ff,294
Train,Image Color,#ff0000,74
Train,Image Color,#00ff00,176
Train,Image Color,#00ffff,215
Train,Image Color,#ffffff,493
Train,Image Color,#000002,68
Train,Image Color,#000004,69
Train,Image Color,#000005,68
Train,Image Color,#000007,68
Train,Image Color,#000008,43
Train,Image Color,#000009,58
Train,Image Color,#00000c,24
Train,Image Color,#000100,68
Train,Image Color,#000102,68
Train,Image Color,#000103,67
Train,Image Color,#000104,68
Train,Image Color,#000105,66
Train,Image Color,#000106,65
Train,Image Color,#000107,47
Train,Image Color,#000108,32
Train,Image Color,#000200,69
Train,Image Color,#000201,68
Train,Image Color,#000202,68
Train,Image Color,#000203,68
Train,Image Color,#000204,49
Train,Image Color,#000205,66
Train,Image Color,#00020b,23
Train,Image Color,#000300,69
Train,Image Color,#000301,65
Train,Image Color,#000302,67
Train,Image Color,#000303,62
Train,Image Color,#000304,67
Train,Image Color,#000305,37
Train,Image Color,#000306,65
Train,Image Color,#000400,69
Train,Image Color,#000402,58
Train,Image Color,#000403,65
Train,Image Color,#000405,62
Train,Image Color,#000407,59
Train,Image Color,#000500,68
Train,Image Color,#000501,67
Train,Image Color,#000502,34
Train,Image Color,#000503,51
Train,Image Color,#000505,49
Train,Image Color,#000600,61
Train,Image Color,#000604,37
Train,Image Color,#000706,20
Train,Image Color,#010000,69
Train,Image Color,#010002,69
Train,Image Color,#010004,68
Train,Image Color,#010005,68
Train,Image Color,#010006,68
Train,Image Color,#010007,66
Train,Image Color,#010009,48
Train,Image Color,#010100,68
Train,Image Color,#010101,73
Train,Image Color,#010103,68
Train,Image Color,#010200,68
Train,Image Color,#010204,67
Train,Image Color,#010206,66
Train,Image Color,#010207,63
Train,Image Color,#010300,68
Train,Image Color,#010302,68
Train,Image Color,#010400,65
Train,Image Color,#010409,19
Train,Image Color,#010500,31
Train,Image Color,#010504,54
Train,Image Color,#010506,50
Train,Image Color,#010508,40
Train,Image Color,#010600,56
Train,Image Color,#010602,55
Train,Image Color,#01060a,3
Train,Image Color,#010703,24
Train,Image Color,#010801,8
Train,Image Color,#020001,69
Train,Image Color,#020003,67
Train,Image Color,#020005,68
Train,Image Color,#020006,61
Train,Image Color,#020008,47
Train,Image Color,#020100,68
Train,Image Color,#020106,67
Train,Image Color,#020107,63
Train,Image Color,#020109,49
Train,Image Color,#020200,67
Train,Image Color,#020202,72
Train,Image Color,#020204,67
Train,Image Color,#020300,66
Train,Image Color,#020305,66
Train,Image Color,#020307,62
Train,Image Color,#020308,51
Train,Image Color,#020400,63
Train,Image Color,#020401,67
Train,Image Color,#020403,66
Train,Image Color,#020500,54
Train,Image Color,#02050a,8
Train,Image Color,#020703,39
Train,Image Color,#020800,13
Train,Image Color,#030000,69
Train,Image Color,#030002,68
Train,Image Color,#030004,69
Train,Image Color,#030005,67
Train,Image Color,#030007,64
Train,Image Color,#030009,48
Train,Image Color,#030100,36
Train,Image Color,#030102,67
Train,Image Color,#030104,67
Train,Image Color,#030106,65
Train,Image Color,#030200,68
Train,Image Color,#030207,62
Train,Image Color,#030300,49
Train,Image Color,#030301,66
Train,Image Color,#030303,71
Train,Image Color,#030305,66
Train,Image Color,#030400,67
Train,Image Color,#030406,64
Train,Image Color,#030500,54
Train,Image Color,#030502,61
Train,Image Color,#030504,64
Train,Image Color,#030600,43
Train,Image Color,#030700,25
Train,Image Color,#030800,22
Train,Image Color,#040000,68
Train,Image Color,#040001,67
Train,Image Color,#040002,68
Train,Image Color,#040003,68
Train,Image Color,#040004,68
Train,Image Color,#040005,68
Train,Image Color,#040006,60
Train,Image Color,#040007,49
Train,Image Color,#040008,31
Train,Image Color,#040009,23
Train,Image Color,#04000e,9
Train,Image Color,#040100,59
Train,Image Color,#040108,50
Train,Image Color,#040200,32
Train,Image Color,#040203,68
Train,Image Color,#040205,66
Train,Image Color,#040207,64
Train,Image Color,#040300,65
Train,Image Color,#040301,65
Train,Image Color,#040308,62
Train,Image Color,#040309,40
Train,Image Color,#040400,44
Train,Image Color,#040402,63
Train,Image Color,#040404,70
Train,Image Color,#040406,64
Train,Image Color,#040500,61
Train,Image Color,#040507,50
Train,Image Color,#040600,30
Train,Image Color,#040601,24
Train,Image Color,#040603,50
Train,Image Color,#040700,37
Train,Image Color,#050000,66
Train,Image Color,#050001,64
Train,Image Color,#050003,60
Train,Image Color,#050004,65
Train,Image Color,#050005,58
Train,Image Color,#050006,66
Train,Image Color,#050007,51
Train,Image Color,#050008,22
Train,Image Color,#050100,67
Train,Image Color,#050102,67
Train,Image Color,#050200,58
Train,Image Color,#050306,61
Train,Image Color,#050308,56
Train,Image Color,#050402,61
Train,Image Color,#05040a,12
Train,Image Color,#050503,54
Train,Image Color,#050505,66
Train,Image Color,#050507,57
Train,Image Color,#050600,40
Train,Image Color,#050702,12
Train,Image Color,#050704,30
Train,Image Color,#050706,24
Train,Image Color,#060000,67
Train,Image Color,#060002,67
Train,Image Color,#060004,64
Train,Image Color,#060005,53
Train,Image Color,#060006,54
Train,Image Color,#060007,41
Train,Image Color,#060009,31
Train,Image Color,#06000b,20
Train,Image Color,#060100,55
Train,Image Color,#060105,65
Train,Image Color,#060107,59
Train,Image Color,#060108,43
Train,Image Color,#060200,61
Train,Image Color,#060201,62
Train,Image Color,#060203,63
Train,Image Color,#060300,55
Train,Image Color,#060400,30
Train,Image Color,#060405,53
Train,Image Color,#060409,23
Train,Image Color,#060500,36
Train,Image Color,#060501,36
Train,Image Color,#060503,49
Train,Image Color,#060600,30
Train,Image Color,#060606,41
Train,Image Color,#060700,31
Train,Image Color,#060a00,28
Train,Image Color,#060b00,24
Train,Image Color,#070000,64
Train,Image Color,#070001,42
Train,Image Color,#070002,48
Train,Image Color,#070003,48
Train,Image Color,#070004,36
Train,Image Color,#070005,43
Train,Image Color,#070006,23
Train,Image Color,#070007,43
Train,Image Color,#070008,28
Train,Image Color,#070009,28
Train,Image Color,#07000a,20
Train,Image Color,#07000b,25
Train,Image Color,#07000c,18
Train,Image Color,#07000e,6
Train,Image Color,#070101,48
Train,Image Color,#070103,50
Train,Image Color,#070105,45
Train,Image Color,#07010b,9
Train,Image Color,#070200,49
Train,Image Color,#070206,49
Train,Image Color,#070208,47
Train,Image Color,#070209,17
Train,Image Color,#070300,52
Train,Image Color,#070302,51
Train,Image Color,#070304,53
Train,Image Color,#070400,37
Train,Image Color,#070500,30
Train,Image Color,#070506,25
Train,Image Color,#070600,31
Train,Image Color,#070700,31
Train,Image Color,#070a00,31
Train,Image Color,#070b00,26
Train,Image Color,#070e00,20
Train,Image Color,#080000,56
Train,Image Color,#080002,40
Train,Image Color,#080004,39
Train,Image Color,#080005,32
Train,Image Color,#080006,34
Train,Image Color,#080007,32
Train,Image Color,#080008,21
Train,Image Color,#080009,27
Train,Image Color,#08000a,21
Train,Image Color,#08000b,25
Train,Image Color,#08000c,22
Train,Image Color,#08000e,10
Train,Image Color,#080010,3
Train,Image Color,#080100,33
Train,Image Color,#080200,29
Train,Image Color,#08020c,2
Train,Image Color,#080300,46
Train,Image Color,#080307,31
Train,Image Color,#080309,15
Train,Image Color,#080401,14
Train,Image Color,#080405,36
Train,Image Color,#080500,34
Train,Image Color,#080600,31
Train,Image Color,#080700,31
Train,Image Color,#080800,31
Train,Image Color,#080900,31
Train,Image Color,#080a00,30
Train,Image Color,#080b00,28
Train,Image Color,#080c00,29
Train,Image Color,#080e00,22
Train,Image Color,#090000,28
Train,Image Color,#090005,28
Train,Image Color,#090006,25
Train,Image Color,#090008,19
Train,Image Color,#090009,15
Train,Image Color,#09000a,24
Train,Image Color,#09000b,16
Train,Image Color,#09000d,8
Train,Image Color,#09000f,7
Train,Image Color,#090200,24
Train,Image Color,#090500,26
Train,Image Color,#090800,27
Train,Image Color,#090900,29
Train,Image Color,#090c00,27
Train,Image Color,#0a0000,37
Train,Image Color,#0a0002,20
Train,Image Color,#0a0005,23
Train,Image Color,#0a0006,6
Train,Image Color,#0a0007,29
Train,Image Color,#0a0009,27
Train,Image Color,#0a000a,17
Train,Image Color,#0a000b,25
Train,Image Color,#0a000c,20
Train,Image Color,#0a000d,9
Train,Image Color,#0a000e,21
Train,Image Color,#0a000f,5
Train,Image Color,#0a0010,11
Train,Image Color,#0a0012,4
Train,Image Color,#0a0104,8
Train,Image Color,#0a0106,9
Train,Image Color,#0a0200,31
Train,Image Color,#0a0300,24
Train,Image Color,#0a0500,30
Train,Image Color,#0a0600,29
Train,Image Color,#0a0800,31
Train,Image Color,#0a0a00,30
Train,Image Color,#0a0c00,30
Train,Image Color,#0a0d00,28
Train,Image Color,#0b0004,8
Train,Image Color,#0b0005,17
Train,Image Color,#0b0006,14
Train,Image Color,#0b0007,23
Train,Image Color,#0b0008,18
Train,Image Color,#0b0009,23
Train,Image Color,#0b000a,16
Train,Image Color,#0b000b,24
Train,Image Color,#0b000c,27
Train,Image Color,#0b000e,20
Train,Image Color,#0b0010,14
Train,Image Color,#0b0012,11
Train,Image Color,#0b0300,27
Train,Image Color,#0b0500,26
Train,Image Color,#0b0600,28
Train,Image Color,#0b0800,28
Train,Image Color,#0b0900,31
Train,Image Color,#0b0a00,31
Train,Image Color,#0b0c00,29
Train,Image Color,#0b0e00,27
Train,Image Color,#0b0f00,28
Train,Image Color,#0b1000,20
Train,Image Color,#0b1100,17
Train,Image Color,#0c0004,7
Train,Image Color,#0c0009,16
Train,Image Color,#0c000a,14
Train,Image Color,#0c000b,10
Train,Image Color,#0c000c,10
Train,Image Color,#0c000d,21
Train,Image Color,#0c000e,6
Train,Image Color,#0c000f,14
Train,Image Color,#0c0010,7
Train,Image Color,#0c0011,5
Train,Image Color,#0c0100,13
Train,Image Color,#0c020b,5
Train,Image Color,#0c0300,13
Train,Image Color,#0c0c00,29
Train,Image Color,#0c1100,12
Train,Image Color,#0d0000,26
Train,Image Color,#0d0002,7
Train,Image Color,#0d0005,6
Train,Image Color,#0d0009,19
Train,Image Color,#0d000a,13
Train,Image Color,#0d000b,23
Train,Image Color,#0d000c,29
Train,Image Color,#0d000d,8
Train,Image Color,#0d000e,27
Train,Image Color,#0d0010,26
Train,Image Color,#0d0011,2
Train,Image Color,#0d0012,21
Train,Image Color,#0d0400,20
Train,Image Color,#0d0500,22
Train,Image Color,#0d0600,27
Train,Image Color,#0d0700,27
Train,Image Color,#0d0800,30
Train,Image Color,#0d0a00,30
Train,Image Color,#0d0c00,29
Train,Image Color,#0d0d00,30
Train,Image Color,#0d0f00,28
Train,Image Color,#0e0000,22
Train,Image Color,#0e0007,7
Train,Image Color,#0e0009,15
Train,Image Color,#0e000b,22
Train,Image Color,#0e000c,27
Train,Image Color,#0e000e,28
Train,Image Color,#0e000f,18
Train,Image Color,#0e0010,26
Train,Image Color,#0e0012,23
Train,Image Color,#0e0013,20
Train,Image Color,#0e0015,7
Train,Image Color,#0e0a00,30
Train,Image Color,#0e0c00,27
Train,Image Color,#0e0e00,30
Train,Image Color,#0e1000,26
Train,Image Color,#0f0009,14
Train,Image Color,#0f000b,25
Train,Image Color,#0f000c,25
Train,Image Color,#0f000d,18
Train,Image Color,#0f000e,28
Train,Image Color,#0f000f,14
Train,Image Color,#0f0010,23
Train,Image Color,#0f0011,10
Train,Image Color,#0f0012,25
Train,Image Color,#0f0013,23
Train,Image Color,#0f0014,10
Train,Image Color,#0f0015,16
Train,Image Color,#0f001b,1
Train,Image Color,#0f0700,19
Train,Image Color,#0f0800,27
Train,Image Color,#0f0900,29
Train,Image Color,#0f0b00,27
Train,Image Color,#0f0c00,29
Train,Image Color,#0f0e00,30
Train,Image Color,#0f0f00,29
Train,Image Color,#10000a,8
Train,Image Color,#10000c,7
Train,Image Color,#10000d,14
Train,Image Color,#10000e,15
Train,Image Color,#10000f,21
Train,Image Color,#100010,14
Train,Image Color,#100011,20
Train,Image Color,#100012,10
Train,Image Color,#100013,17
Train,Image Color,#100014,12
Train,Image Color,#100015,4
Train,Image Color,#100b00,23
Train,Image Color,#100d00,25
Train,Image Color,#110001,2
Train,Image Color,#110009,8
Train,Image Color,#11000b,19
Train,Image Color,#11000e,27
Train,Image Color,#11000f,4
Train,Image Color,#110010,28
Train,Image Color,#110011,10
Train,Image Color,#110012,25
Train,Image Color,#110013,22
Train,Image Color,#110014,17
Train,Image Color,#110015,24
Train,Image Color,#110017,11
Train,Image Color,#110c00,25
Train,Image Color,#111100,20
Train,Image Color,#12000b,5
Train,Image Color,#12000c,17
Train,Image Color,#12000e,21
Train,Image Color,#120010,27
Train,Image Color,#120011,17
Train,Image Color,#120012,29
Train,Image Color,#120013,27
Train,Image Color,#120014,17
Train,Image Color,#120015,27
Train,Image Color,#120017,20
Train,Image Color,#120018,4
Train,Image Color,#120019,14
Train,Image Color,#120900,10
Train,Image Color,#120b00,19
Train,Image Color,#120e00,24
Train,Image Color,#13000e,8
Train,Image Color,#130011,14
Train,Image Color,#130012,17
Train,Image Color,#130013,16
Train,Image Color,#130014,22
Train,Image Color,#130015,13
Train,Image Color,#130016,11
Train,Image Color,#130017,5
Train,Image Color,#13001a,5
Train,Image Color,#130200,1
Train,Image Color,#14000e,22
Train,Image Color,#140010,22
Train,Image Color,#140012,27
Train,Image Color,#140013,28
Train,Image Color,#140014,16
Train,Image Color,#140015,26
Train,Image Color,#140017,26
Train,Image Color,#140019,20
Train,Image Color,#14001c,6
Train,Image Color,#15000e,12
Train,Image Color,#150010,20
Train,Image Color,#150011,15
Train,Image Color,#150012,28
Train,Image Color,#150013,28
Train,Image Color,#150014,19
Train,Image Color,#150015,29
Train,Image Color,#150016,22
Train,Image Color,#150017,26
Train,Image Color,#150018,19
Train,Image Color,#150019,25
Train,Image Color,#15001c,12
Train,Image Color,#150300,1
Train,Image Color,#16000f,4
